English,Korean,Type
LFG,그룹 구합니다,META
LFG,파티 구해,META
LFM,멤버 구합니다,META
LFM,멤 구함,META
LFM,멤버 구해,META
LFDG,돌멘 그룹 구합니다,META
PST,귓말 주세요,META
PST,귓해,META
PST,귓요,META
PST,귓주세요,META
PST,부탁해요,META
WC,채팅 실수,META
WC,실수,META
WC,오타,META
WB,월드 보스,META
AFK,자리 비움,META
BRB,잠깐 자리 비움,META
OOM,자원 부족,MOD
HF,즐겜하세요,META
HF,즐거운 게임 되세요,META
HF,재밌게 하세요,META
HF,즐미,META
GZ,축하해요,META
Grats,축하해요,META
Gratz,축하해요,META
WTB,구매 원합니다,META
WTB,구해,META
WTB,원해,META
WTB,살려고,META
WTS,판매 원합니다,META
WTS,팜,META
WTS,팝니다,META
WTS,팔아요,META
WTT,교환 원합니다,META
WTT,교환요,META
WTT,바꿔요,META
WTT,바꾸자,META
PUG,즉석 그룹,META
PUG,즉그,META
PUG,즉시 그룹,META
Prog,공략 진행,MOD
Prog,공략중,MOD
Inc,적 접근 중,MOD
DK,드래곤나이트,MOD
Sorc,소서러,MOD
NB,나이트블레이드,MOD
Plar,템플러,MOD
Den,워든,MOD
Necro,네크로맨서,MOD
Arc,아르카니스트,MOD
MagDK,메지카 드래곤나이트,MOD
StamDK,스태미나 드래곤나이트,MOD
MagSorc,메지카 소서러,MOD
StamSorc,스태미나 소서러,MOD
MagBlade,메지카 나이트블레이드,MOD
StamBlade,스태미나 나이트블레이드,MOD
MagPlar,마지카 템플러,MOD
StamPlar,스태미나 템플러,MOD
MagDen,메지카 워든,MOD
StamDen,스태미나 워든,MOD
MagCro,메지카 네크로맨서,MOD
StamCro,스태미나 네크로맨서,MOD
AD,알드메리 자치령,MOD
EP,에본하트 조약,MOD
DC,대거폴 동맹,MOD
HM,하드모드,MOD
NM,일반 모드,MOD
VM,베테랑 모드,MOD
Trifecta,트리펙타,MOD
Speed run,속도전,NAME
vMA,베테랑 맬스트롬 아레나,NAME
nMA,일반 맬스트롬 아레나,NAME
vDSA,베테랑 드래곤스타 아레나,NAME
nDSA,일반 드래곤스타 아레나,NAME
vAA,베테랑 에테리아 문고,NAME
nAA,일반 에테리아 문고,NAME
vHRC,베테랑 헬 라 성채,NAME
nHRC,일반 헬 라 성채,NAME
vSO,베테랑 오피디아 성소,NAME
nSO,일반 오피디아 성소,NAME
vMoL,베테랑 로르카즈의 아가리,MOD
nMoL,일반 로르카즈의 아가리,MOD
vHoF,베테랑 제작의 전당,MOD
nHoF,일반 제작의 전당,MOD
vCR,베테랑 클라우드레스트,NAME
nCR,일반 클라우드레스트,NAME
vSS,베테랑 선스파이어,NAME
nSS,일반 선스파이어,NAME
vKA,베테랑 카인의 방패,NAME
nKA,일반 카인의 방패,NAME
vRG,베테랑 록그로브,NAME
nRG,일반 록그로브,NAME
vDSR,베테랑 드레드세일 암초,NAME
nDSR,일반 드레드세일 암초,NAME
vSE,베테랑 제정신의 끝,NAME
nSE,일반 제정신의 끝,NAME
vLC,베테랑 빛나는 성채,NAME
nLC,일반 빛나는 성채,NAME
CoH,크립트 오브 하츠,MOD
FG,균류 동굴,MOD
BC,추방된 감방,MOD
EH,엘든 공동,MOD
CoA,재의 도시,MOD
ICP,임페리얼 시티 감옥,MOD
WGT,화이트 골드 타워,MOD
BRP,블러드루트 단조장,MOD
FV,포스트 오브 쓰로트,MOD
DoT,지속 피해,MOD
HoT,지속 회복,MOD
AoE,범위 공격,MOD
CC,군중 제어,MOD
CD,쿨타임,MOD
LA,약공격,MOD
HA,강공격,MOD
GCD,글로벌 쿨다운,MOD
BoE,장착 시 귀속,MOD
BoP,습득 시 귀속,MOD
RNG,랜덤,MOD
OP,사기적으로 강함,MOD
Meta,메타,MOD
BiS,최고 세트,MOD
Toon,캐릭터,MOD
Char,캐릭터,MOD
Main,본캐,MOD
Alt,부캐,MOD
MS,마법사 조합,MOD
ZOS,제니맥스 온라인,MOD
PTS,공개 테스트 서버,MOD
NA,북미 서버,MOD
EU,유럽 서버,MOD
Dragonknight,드래곤나이트,MOD
Sorcerer,소서러,MOD
Nightblade,나이트블레이드,MOD
Templar,템플러,MOD
Warden,워든,MOD
Necromancer,네크로맨서,MOD
Arcanist,아르카니스트,MOD
Tank,탱커,MOD
Healer,힐러,MOD
Damage Dealer,딜러,NAME
DPS,딜러,MOD
Off-tank,서브탱,MOD
Support,지원,MOD
Two Handed,양손,NAME
One Hand and Shield,한손방패,NAME
Dual Wield,쌍검,NAME
Bow,활,MOD
Destruction Staff,파괴 스태프,NAME
Restoration Staff,회복 스태프,NAME
Werewolf,늑대인간,MOD
Vampire,뱀파이어,MOD
Assault,돌격,MOD
Magicka,마지카,MOD
Stamina,스태미나,MOD
Ultimate,궁극기,MOD
Health,체력,MOD
Spell Damage,주문 피해,NAME
Weapon Damage,무기 피해,NAME
Critical,치명타,MOD
Penetration,관통,MOD
Resistance,저항,MOD
Recovery,회복량,MOD
Max Magicka,최대 마지카,MOD
Max Stamina,최대 스태미나,MOD
Max Health,최대 체력,NAME
Major Brutality,주요 잔혹함,NAME
Minor Brutality,경미한 잔혹함,NAME
Major Sorcery,주요 마법력,NAME
Minor Sorcery,경미한 마법력,NAME
Major Resolve,주요 결의,NAME
Minor Resolve,경미한 결의,NAME
Major Expedition,주요 원정,NAME
Minor Expedition,경미한 원정,NAME
Burning,화상,MOD
Chilled,냉각,MOD
Concussed,충격,MOD
Poisoned,중독,MOD
Diseased,질병,MOD
Off Balance,균형 상실,NAME
Stunned,기절,MOD
Snared,감속,MOD
Immobilized,속박,MOD
